ha	a
abasto	a~basto
aquí	a~cí
aquí	a~cí
adrede	a~drede
ha~ganado	a~ganado
ha~producido	a~producido
aquí	a~quí
ha~roto	a~roto
había	abia
había	abia
habitación	abitación
habitual	abitual
habla	abla
hablar	ablar
hablaron	ablaron
hablar	abra
hablar	abra
hablar	abra
absorber	absorver
absorbiendo	absorviendo
agua	abua
adverbios	abverbios
adverbios	abvervios
adverbios	abvervios
a~cabo	acabo
aceptación	acceptación
accesibilidad	accessiblidad
accesibilidad	accessiblidad
accesibilidad	accessiblidad
accesibilidad	acdesiblidad
accesibilidad	acdesiblidad
hace	ace
hacemos	acenos
hacemos	acenos
hacer	acer
aceptado	acetado
adjetivo	acetino
adjetivo	acetino
adjetivo	acetino
aquí	ací
aquí	ací
así	ací
hacía	acía
acompaña	acompanya
acompaña	acompanya
accesibilidad	acsecibilidad
accesibilidad	acsecibilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
accesibilidad	acsevilidad
actividades	actibidades
actividades	activicades
accesibilidad	aczecibilidad
accesibilidad	aczecibilidad
adverbios	adbervios
adverbios	adbervios
adjetivo	adjetibo
admiten	admin
admiten	admin
admiten	admin
admiten	admin
admiten	admin
adverbios	advervios
hago	ago
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agradecerá	agraderá
agujero	agugero
año	aho
hay	ai
aeropuerto	airopuerto
ayuntamiento	aiuntamiento
aquí	ají
aquí	ají
año	ajo
agua	ajua
a~jugar	ajugar
alrededor	al~readedor
alrededor	al~readedor
alrededor	al~rededor
a~la~ley	alaley
a~la~ley	alaley
alcalde	alcade
alfabetización	alfavetización
aliviado	alibiado
alienígena	aliengena
aya	alla
aya	alla
haya	alla
haya	alla
haya	alla
ayer	aller
ayer	aller
año	allo
año	allo
ayudarme	alludarme
ayudarme	alludarme
ayuntamiento	alluntamiento
ayuntamiento	alluntamiento
al~primero	alprimero
alrededor	alrrederdor
alrededor	alrrederdor
aliviado	alviado
han	an
alcalde	ancalde
animales	animale
antiguo	antguo
antropónimos	antropómimo
antropónimos	antropómimo
atún	antún
ambiente	anviente
ambiente	anviente
año	anyo
año	anyo
años	anyos
años	anyos
años	añyos
ahogarse	aogarse
ahora	aora
aprovechar	aprobechar~
aprovechar	aprobechar~
aquí~también	aquítambién
harán	arán
arrastraba	arastaba
arrastraba	arastaba
arbolazo	arbazo
arbolazo	arbazo
arbolazo	arbazo
arbolazo	arbazo
arboles	arbolls
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
arquitectura	arcite
hace	are
hace	are
hará	aré
arrastraba	arrastrava
arrestar	arresta
arrestaron	arsestaron
artilugio	artilujio
arquitectura	artitectura
arquitectura	artitectura
asesinada	assesinada
asteroide	asterioda
tenis	atenis
adjetivo	atjetivo
aunque	aun~que
aúno	aúnno
autobús	autovús
a~veces	aveces
haber	aver
haber	aver
hábil	ávil
hábil	ávil
habitación	avitación
habitación	avitación
agua	avua
hay	ay
ayuntamiento	ayunamyento
ayuntamiento	ayunamyento
haz	az
hace	aze
hace	aze
hacer	azer
hacer	azer
acercó	azercó
azul	azsul
actrices	aztrices
pagar	bagar
vamos	bamos
variable	bariable
varias	barias
bastante	bastant
baobab	baubab
ve	be
beber	beder
deber	beder
deber	beder
beneficiario	beneciciario
beneficioso	benecicioso
beneficiario	beneficirio
beneficiario	benefiziario
ventana	bentana
verdadera	berdadera
berenjena	beregena
berenjena	beregena
berenjena	berengena
berenjenas	berengenas
vestir	bestir
viejo	biejo
viejo	biejo
bienvenido	bien~venido
bien	bienm
vio	bió
blanco	blamco
blanquecina	blancecina
blanquecina	blancecina
vocal	bocal
voy	boi
voy	boi
voy~a	boia
voy~a	boia
voy~a	boia
volar	bolar
donde	bonde
vos~los	bos~los
voy	boy
vudú	budú
burro	buro
busco	buso
callejón	caejón
callejón	caejón
callejón	caejón
cayó	caió
calabacines	calavacines
salida	calida
salida	calira
salida	calira
callejón	callegón
comisaría	camisería
comisaría	camisería
camping	campin
canción	canció
cantaríamos	cantarímo
cantaríamos	cantarímo
contempló	cantemplór
contempló	cantemplór
cantidad	cantida
cartel	captel
carácter	carázter
canción	carsión
canción	carsión
cartón	cartrón
garbanzos	carvarzos
garbanzos	carvarzos
garbanzos	carvarzos
cárcel	cárzel
castaño	castayno
castaño	castayno
catastrófica	catrastrófica
caballero	cavallro
caballero	cavallro
callejón	cayejón
callejón	cayejón
que	ce
que	ce
relaciona	celaciona
conversación	ceonverración
conversación	ceonverración
células	cérlas
células	cérlas
cereza	cerreza
servicios	cervicios
civilización	cibilización
sigilosamente	cicilosamente
sigilosamente	cicilosamente
cervatillo	ciervatillo
sigilosamente	ciguilosamente
sigilosamente	ciguilosamente
kimono	cimono
giraba	cirara
giraba	cirara
circulante	cisculante
civilización	civilidadión
civilización	civilidadión
clase	classe
clerecía	clerecías
cogen	cojen
coger	cojer
cogía	cojía
cogió	cojió
comer	comert
con~mi	comi
con~mi	comi
con~mi	comi
compañeros	compañero
comparación	compatación
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
composicional	composicion
compró	comprós
comprobó	comprovó
comunicación	comunicazión
conexión	conección
conexión	conección
conectarse	conectarce
conexión	conesión
confianza	confianca
congelados	conjelados
conjunto	conjungo
conurbano	cono~urbano
conurbano	cono~urbano
conurbano	cono~urbano
conurbano	cono~urbano
conservantes	conserbantes
consigue	consige
consiste	consirte
cantar	contar
conmigo	contimigo
conmigo	contimigo
conmigo	contimigo
conmigo	contimigo
contento	contonto
contrarreloj	contra~reloj
contrarreloj	contrareloj
convencerlos	convenos
convencerlos	convenos
convencerlos	convenos
convencerlos	convenos
convencerlos	convenos
convencerlos	convenos
convencerlos	convenos
conversación	convercación
conversación	conversasión
conversación	converzasión
conversación	converzasión
conversación	convesación
corazón~a~cien	corazónacies
corazón~a~cien	corazónacies
cuerpo	corpo
cuerpo	corpo
creado	creao
creciente	creiente
cobo	cubo
cuaderno	cuderno
cuidados	cudos
cuidados	cudos
cuidados	cudos
cuidados	cudos
huevos	cuebos
huevos	cuebos
cueva	cueeva
cuerpo	cuerco
gusta	cues
gusta	cues
gusta	cues
cuesta	cueta
jugar	cugar
cuando	cundo
cuerpo	curpo
cuesta	custa
gusta	custa
circulante	cyrculante
deprisa	de~prisa
de~agua	deagua
de~cartón	decartón
de~casa	decasa
beber	deder
beber	deder
dedique	dedice
dedique	dedice
dejar	degar
dejen	degen
de~gente	degent
de~gente	degent
de~hierbabuena	dehiervabuena
de~hierbabuena	dehiervabuena
decir	dejir
de~al	dela
de~al	dela
de~la~ley	delaley
de~la~ley	delaley
del~año	delaño
de~litros	delitros
de~mar	demar
de~pollo	depollo
cerca	derca
berenjena	derengena
berenjena	derengena
dentro	dertro
desde	des~de
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desalloro
desarrollo	desarroio
desarrollo	desarroio
descontado	descuentado
descontado	descuentado
desinencias	desenancias
desinencias	desenancias
desechando	deshechando
desobediente	desovediente
disparó	desparó
destrozo	destroso
dermatología	determaatología
dermatología	determaatología
dermatología	determaatología
dermatología	determaatología
deben	deven
deber	dever
debía	devía
de~vidrio	devidreo
de~vidrio	devidreo
debilidad	devilidad
debilidad	devilidat
dibujo	dibugo
dicen~poco	dicenpoco
difícil	dicífil
difícil	dicífil
difícil	diffícil
disfraces	difraces
dije	dige
dijeron	digeron
dijo	digo
dirigirse	dirigir_se
discusión	discurción
discusión	discurción
discusión	discursión
distintas	distintes
distorsión	distorción
distorsionado	distorcionado
distintas	disttas
distintas	disttas
distintas	disttas
distintas	disttas
distintas	disttas
discutiendo~y~al	disutiendoyal
discutiendo~y~al	disutiendoyal
discutiendo~y~al	disutiendoyal
dictado	ditado
dibujo	divugo
dibujo	divugo
dibujo	divujo
dicho	dixo
dicho	dixo
diciembre	diziembre
zoo	do
zoo	do
domingo	domigo
doctor	doptor
doctor	dotor
el	e
en	e
escribe	eacrive
escribe	eacrive
extraña	eastrayna
extraña	eastrayna
extraña	eastrayna
extraña	eastrayna
escena	ecena
hecha	echa
ejemplo	egemplo
ejercicios	egercicios
ejercicio	egergicio
ejercicio	egergicio
el~interior	elinterior
ello~se~debe	ellosedebe
ello~se~debe	ellosedebe
el~señor	elseñor
envía	em~bía
envía	em~bía
envía	em~bía
envuelve	embueve
envuelve	embueve
envuelve	embueve
hemos	emos
hemos	emos
empezado	empecado
empecé	empezé
embarcación	enbarcación
encuentra	encuntra
adentró	endentró
adentró	endentró
energía	energí
enlace	enlaze
enseñarle	ensenyarle
enseñarle	ensenyarle
enseño	ensenyo
enseño	ensenyo
entera	entara
entonces	entones
entrar	entrer
enviado	enveado
envuelve	envoelve
ecualizador	equalizador
ecualizar	equalizar
hermano	er~mano
hermano	er~mano
era	erera
era	erera
era	erera
agua	ergue
agua	ergue
hermana	ermana
hermano	ermano
esta	es~ta
estaba	es~tava
estaba	es~tava
escribimos	escibrimos
escribimos	escibrimos
excitación	escitación
escribe	escrib
escriben	escriven
escribió	escrivió
españa	españya
especiales	especiale
explica	esplice
esos	essos
estadísticamente	estadísticmente
esta	estar
estaba	estava
estabais	estavais
estaban	estavan
estabas	estavas
extranjero	estranjero
estuvo	estubo
entusiasmo	estusiasmo
entonces	etonces
evaluación	evalución
ejemplo	exemplo
excepto	exepecpto
excepto	exepecpto
excepto	exepecpto
experimentos	expermentos
excepto	experto
excepto	experto
esplendor	explendor
expresión	expreción
extraño	exstraño
extensión	extención
extravagante	extrabagante
extensión	extranción
extensión	extranción
extensión	extranción
extranjero	extrangero
estrés	extrés
estricta	extricta
estrictamente	extrictamente
estricto	extricto
fuegos	faegues
fuegos	faegues
fuegos	faegues
fauna	faura
felicidad	felicida
felicidad	feliridad
felicidad	felizidad
felicidad	felizidad
feria	ferai
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
filántropo	filántropoco
frecuencias	freguencias
frecuencias	frequencias
frecuencias	frequentias
frecuencias	frequentias
fricción	frición
fusión	fución
fuegos~artificiales	fuegosartificiales
fuera~de	fuerade
fui~al	fuial
futuro	fututuro
futuro	fututuro
futuro	fututuro
futuro	fututuro
futuro	fututuro
futbol	futvol
galaxia	galaccia
galaxia	galaccia
galaxia	galacsia
galaxia	galacsia
garaje	garage
gatito	gatoito
genial	gemial
genial	genia
genial	gennial
guerra	gera
guerra	gera
guerra	gerra
geranio	gerranio
jersey	gersei
gimnasio	gimansio
giraba	girava
sigilosamente	gisilosamente
sigilosamente	gisilosamente
galaxia	glalaccia
galaxia	glalaccia
galaxia	glalaccia
jóvenes	góvenes
gobierno	govierno
garbanzos	gravanzos
garbanzos	gravanzos
grupos	groupos
huevos	guabes
huevos	guabes
huevos	guabes
huevos	guabes
guardaban	guardavan
que	gue
juego	guego
juegos	guegos
gente	guente
guerra	guerrerra
guerra	guerrerra
guerra	guerrerra
guerra	guerrerra
guerra	guerrerra
guerra	guerrerra
huevos	guevos
jugar	guga
jugar	guga
jugar	gugar
justo	gunto
justo	gunto
gusano	gusan~no
gusano	gusan~no
gusano	gusan~no
gusano	gusan~no
gusano	gusan~no
gusano	gusan~no
justa	gusta
justamente	gustamente
justo	gusto
a	ha
habitación	habtitación
hacer	hace
habitación	haditación
haya	haiga
haya	haiga
hayas	hallas
hayas	hallas
habían	havían
habitación	havitacion
habitación	havitacion
ayer	hayer
he~puesto	he~pueso
huevos	hebos
huevos	hebos
hueco	heco
huele	hele
hermano	hemano
herramientas	heramientas
ermita	hermita
herbívoro	hervívoro
hibridación	hibridización
hibridación	hibridización
hibridación	hibridización
hibridación	hibridización
hibridación	hibridización
hibridación	hibridización
hibridación	hibridización
higuera	higuerra
invierno	hinvierno
historia	histeria
hiciste	hiziste
honrado	honrrado
huevos	huebos
humano	hummano
hueso	huso
útil	hútil
hube	huve
hiciste	iciste
alienígena	ilegenes
alienígena	ilegenes
alienígena	ilegenes
alienígena	ilegenes
alienígena	ilegenes
ilustrador	ilistnador
ilustrador	ilistnador
ilustrador	ilustro
ilustrador	ilustro
ilustrador	ilustro
ilustrador	ilustro
ilustrador	ilustro
ilustrador	ilustro
ilustrador	ilustro
imágenes	imárenes
indica	imdica
imágenes	imganes
imágenes	imganes
inmovilizó	imovilizó
inauguro	inauburo
invariables	inbaririables
invariables	inbaririables
invariables	inbaririables
invariables	inbaririables
invariables	inbaririables
invariables	inbaririables
invariables	inbaririables
inconsistencias	inconsisencias
inconsistencia	incosistencia
inolvidable	inoblidable
inolvidable	inoblidable
impenetrable	inpenetrable
importantes	inportantes
interior	interiorios
interior	interiorios
interior	interiorios
interior	interiorios
interior	interiorios
interior	interiorios
interior	interiorios
interior	interiorios
interrogar	interogar
interrogarle	interogarle
intemperie	interperie
industrial	intostrial
industrial	intostrial
introducción	introcción
introducción	introcción
introducción	introcción
introducción	introcción
introducción	introcción
introducción	introcción
invencible	invencivle
israelíes	irraelies
israelíes	irraelies
historia	istoria
interior	iterior
interior	iterios
iba	iva
iban	ivan
hicieron	izieron
hicieron	izieron
hiciste	iziste
hiciste	iziste
ya	ja
ya	ja
sábado	jabado
sábado	jabado
genial	jenial
gente	jente
jirafa	jerafa
giraba	jiraba
yo	jo
jamón	jomón
jueves	juebes
jueves	juerves
jueves	juves
la~fábrica	lafabrica
la~fábrica	lafabrica
clase	lase
lavavajillas	lavajillas
lavavajillas	lavajillas
lavavajillas	lavajillas
lavavajillas	lavajillas
lavavajillas	lavajillas
lejos	legos
lejos	legos
leí	leír
lentejas	lentegas
literales	lietarates
literales	lietarates
literales	lietarates
sigilosamente	ligisolamente
sigilosamente	ligisolamente
sigilosamente	ligisolamente
línea	línia
líquido	líquydo
libro	livro
ya	lla
ya	lla
llaman	llama
llegada	llegaba
llegaban	llegavan
yendo	llendo
yendo	llendo
llevará	llevavá
yo	llo
yo	llo
los	lo
lo~mató	lomató
longeva	lonjeva
longevo	lonjevo
lugar	lular
luces	luses
luces	luzes
líquido	lyquido
litros	lytros
me	m
madera	ma~dera
madre	madera
majestad	magestad
mayonesa	mallonesa
mayonesa	mallonesa
mayores	mallores
mayores	mallores
manantial	manatil
manantial	manatil
manzanilla	mancanilla
mandaban	mandavan
manita	manorita
manita	manorita
manita	manorita
manita	manorita
mañana	manyana
mañana	manyana
masculino	maqulino
masculino	maqulino
madera	marera
martes	mastes
memoria	me~moria
me~cuesta	mecuesta
me~cuesta~cantar	mecuestacantar
me~cuesta~cantar	mecuestacantar
mediados	medias
mediados	medias
mediados	medias
mediados	medias
mediados	medias
mediados	medias
medio~desnuda	mediodesnuda
mejilla	mejella
mexicana	mejicana
mexicano	mejicano
méxico	méjico
mentita	mentaita
me~regalo	mere~galó
me~regalo	mere~galó
me~regaló	meregaló
me~regaló	merregaló
mester	mes~ter
me~se	mese
me~sé	mesé
meses~del	mesesdel
mechas	mexas
mechas	mexas
miércoles	mi~ércoles
mirada	mi~rada
miércoles	miér~coles
miércoles	miéscoles
mi~padre	mipadre
mirada	mirara
mi~tío	mitio
mi~tío	mitio
voy	moi
momento	momemto
momento	mometo
monosémicas	monosémiques
monosémicas	monosémiques
monosémicas	monosémiques
montable	montavle
mostraba	mostrava
mochila	motchila
meses	mreses
mucho	much
muchos	mucho
muestra	muenstra
mucho	mugo
mucho	mugo
muy	mull
mucho	mungo
mucho	mungo
mundo	mungo
municipal	munipal
municipal	munipal
municipal	munipal
municipal	munipal
municipal	munipal
muchas	mutchas
mucho	muxo
mucho	muxo
nadie	nadien
nadie	nadies
año	ñaño
naturales	natuales
natural	natulal
naturaleza	naturalez
nauseabundas	nausabundas
necesita	nececita
necesitaba	necestiva
necesitaba	necestiva
necesitaba	necestiva
necesitaba	necizitaba
necesitaba	necizitaba
negro	nego
en~el	nel
en~el	nel
necesita	nesesita
necesitar	nesesitar
necesita	nezesita
necesitaba	nezesitaba
ingredientes	ngredientes
nivel	niavel
nivel	nibel
noviembre	no~ovembre
noviembre	no~ovembre
noviembre	no~ovembre
noviembre	no~ovembre
noche	noce
noche	noge
noche	noge
normal	nomal
no~sabía	nosabía
no	not
noche	notge
noche	notge
noche	noxe
noche	noxe
nueva	nueba
nube	nuve
observó	obserbó
observó	observór
octubre	octuber
octubre	octuvre
oficina	officina
hojalata	ojalata
hojas	ojas
obtener	oltener
hombre	ombre
hongos	ongos
honrado	onrado
antropómimo	ontropónimo
antropómimo	ontropónimo
hora	ora
horario	orario
ordenada	ordena
ordenada	ordena
ordenada	ordena
ordenada	ordena
ordenada	ordena
ordenada	ordena
origen	organ
origen	organ
orejas	orrejas
o~sea	osea
otoño	otono
padre	pa~rde
padre	pa~rde
palabras	pabras
palabras	pabras
palabras	pabras
pequeño	paceño
pequeño	paceño
pequeño	paceño
paquete	pacete
paquete	pacete
pacífico	pafícico
pacífico	pafícico
payaso	pagaso
páginas	páguinas
payaso	paiaso
paisaje	paisage
páginas	pájinas
palabra	pala
palabra	pala
palabra	pala
palabra	pala
palabras	palabrars
palabras	palabres
palabras	palavras
lápiz	páliz
lápiz	páliz
payaso	pallaso
payaso	pallaso
payaso	pallazo
payaso	pallazo
payaso	pallazo
pantalones	pantolones
para~poder	par~apoder
para~sobrevivir	parasobre~vivir
para~sobrevivir	parasobre~vivir
pasear	parear
paquete	parete
paquete	parete
participantes	paritcipnates
participantes	paritcipnates
parque	parq
parque	parq
parque	parq
parque	parq
participación	participanción
agua	parugas
agua	parugas
agua	parugas
paisaje	pasisague
paisaje	pasisague
paisaje	pasisague
pasado	passado
partir	patir
pequeño	pecegon
pequeño	pecegon
pequeño	pecegon
pequeño	pecegon
pequeño	peceño
pequeño	peceño
perfecto	pefecto
policía	pelicía
policía	pelisía
policía	pelisía
perrera	pellera
perrera	pellera
pensaba	pemsaba
pensaba	pencaba
pensaba	pensava
pequeñitas	pequenyitas
pequeñitas	pequenyitas
pequeño	pequenyo
pequeño	pequenyo
persona	per~sona
perfecto	percepto
perfecto	percepto
verdadera	perdadera
perros	pereos
peligro	periglo
peligro	periglo
peligro	perigro
perros	perro
perrito	perroito
personaje	personage
personajes	personages
personas	persones
persuasión	persuación
pertenece	perteneze
presente	pesete
presente	pesete
primero	pimero
plantita	plantaito
peligro	pligro
probablemente	pobrablemente
probablemente	pobrablemente
pudieron	podieron
policía	policí
porcentajes	por~centajes
porcentajes	porcentages
porcentajes	porcentagues
porcentajes	porcentagues
proceso	porceso
porcentajes	porcetages
porcentajes	porcetages
porcentajes	porcetajes
parecía	porecía
por~la	porla
por~la~supervivencia	porlasupervivencia
por~la~supervivencia	porlasupervivencia
por~la~tarde	porlatarde
por~la~tarde	porlatarde
por~lo~tanto	porlotanto
por~lo~tanto	porlotanto
porque	porpue
por~si~solos	porsisolos
por~si~solos	porsisolos
personas	porsonas
porcentajes	porzentages
porcentajes	porzentages
posibilidades	posiblidades
posesivos	possesivos
pequeñito	pqueñito
pequeña	precana
pequeña	precana
pequeña	precana
pequeña	precana
pequeña	precana
prefijos	prefigos
prehistóricos	preitóricos
prehistóricos	preitóricos
preguntó	prejuntó
prerrequisito	prerequisito
presente	presnte
preso	presso
prever	preveer
principio	pricipio
piratas	priratas
proponemos	proponemo
proceso	proreso
prorrumpir	prororrumpir
prorrumpir	prororrumpir
presencia	prosencia
proceso	proseso
proceso	prososo
proceso	prososo
protectoras	protectopas
proteger	protejer
protozoos	protocos
protozoos	protocos
proceso	prozeso
grupo	prupo
puso	pueso
puesta	pusta
creía	qreía
cuaderno	quaderno
cual	qual
cuales	quales
cuando	quando
cuantos	quantos
cuatro	quatro
quejaba	quegaba
que~no~va	quenova
que~no~va	quenova
quedara	queraba
quedara	queraba
queso	querso
cuesta	questa
gusta	questa
gusta	questa
que~te	quete
que~vio	quevio
cine	quine
cine	quine
quiso	quis
quiso	quizo
razón	racón
raíz	raz
realizarnos	realicarnos
realizaba	realigaba
recibir	recivir
reescribir	reencribir
refugio	refujo
refugio	refujo
regalo	regal
rejilla	regilla
reyes	reies
raíz	rel
raíz	rel
relación	relazión
reemplazar	remplazar
repente	repende
recuerda	requerda
cerca	rerca
resultados	resutlados
reunión	reuni~ón
revisado	revizado
revisar	revizar
reunión	reynión
receptor	rezeptor
silla	rilla
rosita	rosafarida
rosita	rosafarida
rosita	rosafarida
rosita	rosafarida
rosita	rosafarida
se~ha	sa
se~ha	sa
savias	sabias
sacerdotisa	sacerdotiza
salida	sali~da
salida	saliva
zapato	sapato
satisfecho	satisfido
satisfecho	satisfido
satisfecho	satisfido
sabe	save
sabe	save
sabemos	savemos
se~bañan	sebañan
servicios	sebicios
servicios	sebicios
señor	sego
señor	sego
siguió	seguió
se~lo~dijo	selodijo
se~lo~dijo	selodijo
se~enfado	senfado
se~enfado	senfado
se~enfado	senfado
señor	señoor
sencillo	sensillo
segundo	senundo
señales	señyales
señor	senyor
señor	senyor
servicios	serbicios
cerca	serca
su	seu
señor	seyor
significativos	sig~nificativos
sigilosamente	sigilosarmente
sigilosamente	sigilozamente
significativo	signfiticativo
significativo	signfiticativo
significancia	signifcancia
significativo	signifcativo
significativa	signifitcativa
significativos	signimicatibos
significativos	signimicatibos
sigilosamente	sijilosamente
sílaba	sílava
siglo	sillo
siempre	simpre
sin~embargo	sinembargo
siguió	siquió
si~se~tratase	sisetratase
si~se~tratase	sisetratase
solicitaremos	solisitaremos
sonrientes	sonrrientes
sonrió	sonrrió
cuaderno	suaderno
sustituir	substitui
sustituir	substitui
sufijo	sufigo
sujeto	sugeto
sustituyendo	sustituiendo
subir	suvir
subo	suvo
tarjetas	taguetas
tarjetas	taguetas
tal~vez	talvez
también	tamnbién
también	tan~bién
también	tan~bién
también	tan~via
también	tan~via
también	tan~via
también	tan~via
también	tanbién
tecnológicas	tecnolójicas
tecnologías	tegnologías
teniendo	tentiendo
tengo	tento
te~pasa	tepassa
te~pasa	tepassa
tienen~geranios	tienengeranios
trimestre	timestre
tierra	tirre
tomillo	tonillo
trajeron	trageron
transportes	tranportes~ 
transportes	tranportes~ 
transportes	tranportes~ 
transportes	tranportes~ 
transportes	tranportes~ 
transportes	tranportes~ 
transportes	tranportes~ 
trabajadora	travajadora
trabajos	travajos
triángulos	triánguloes
trimestre	trismestre
otro	tro
proceso	troceso
tuvieran	tubieran
ruta	tula
ruta	tula
verbos	uebos
verbos	uebos
huele	uele
huele	uell
humo	umo
una	un
unos	un
unos	un
uno	unos
utilización	utilisación
utilización	utilizasión
hube	uve
hube	uve
vaciar	vacea
vaciar	vacea
bajo	vago
bajo	vago
bailar	vailar
variable	vairavie
variable	vairavie
variable	vairavie
bajita	vajita
bajito	vajito
vayamos	vallamos
vayamos	vallamos
balón	valón
banco	vanco
bastan	vastan
bastante	vastante
batir	vatir
be	ve
vez	ve
verdadera	vedara
verdadera	vedara
verdadera	vedara
verdadera	vedara
verdadera	vedara
veintiuno	veinti~uno
vegetación	vejetación
bella	vella
velocidad	velocida
veinte	vemte
veinte	vemte
bien	ven
bien	ven
venenosas	venerosas
veinte	vente
veintitrés	ventitrés
verdadera	verdade
verdadera	verdade
verdadera	verdade
verdadera	verdade
verdadera	verdade
verdadera	verdade
verdadera	verdade
verdad	verdado
berenjena	verenguena
berenjena	verenguena
berenjena	verenguena
verbal	verval
verbo	vervo
verbos	vervos
beber	vever
beber	vever
veces	vezes
biblioteca	viblioteca
vidrio	vidreo
vía	vie
vieja	viega
bien	vien
tiene	viene
viernes	vienres
billones	villones
blanco	vlanco
vociferar	vocifera
volvió	volbió
boli	voli
bosque	vosque
buscaba	vuscaba
y~ángel	yángel
y~de	yde
y~vio	yvio
cerca	zerca
cinco~mil	zincomil
cinco~mil	zincomil

